ID;DESCRIPCION;R;G;B;A;RGBA;HTML;
CC0;"Relleno parcelas rurales; FFCC y otros";255;252;178;;#FFFCB2;#B2FCFFFF;
CC1;Relleno parcelas chacras;178;214;255;;#B2D6FF;#FFD6B2FF;
CC2;Relleno parcelas Quintas;255;166;166;;#FFA6A6;#A6A6FFFF;
CC3;Relleno parcelas Manzanas;152;255;152;;#98FF98;#98FF98FF;
CC4;Relleno parcelas PH Manzanas;136;229;136;;#88E588;#88E588FF;
CC5;Relleno parcelas PH Quintas;229;149;149;;#E59595;#9595E5FF;
NEGRO;Negro;0;0;0;;#000000;#000000FF;
REG1;Lima;164;196;0;;#A4C400;#00C4A4FF;
REG2;Cyan;27;161;226;;#1BA1E2;#E2A11BFF;
REG3;Rosa;244;114;208;;#F472D0;#D072F4FF;
REG4;Naranja;250;104;0;;#FA6800;#0068FAFF;
REG5;Oliva;109;135;100;;#6D8764;#64876DFF;
REG6;Verde;96;169;23;;#60A917;#17A960FF;
REG7;Cobalto;0;80;239;;#0050EF;#EF5000FF;
REG8;Magenta;216;0;115;;#D80073;#7300D8FF;
REG9;Ambar;240;163;10;;#F0A30A;#0AA3F0FF;
REG10;Acero;100;118;135;;#647687;#877664FF;
REG11;Esmeralda;0;138;0;;#008A00;#008A00FF;
REG12;Indigo;106;0;255;;#6A00FF;#FF006AFF;
REG13;Carmesi;162;0;37;;#A20025;#2500A2FF;
REG14;Amarillo;227;200;0;;#E3C800;#00C8E3FF;
REG15;Malva;118;96;138;;#76608A;#8A6076FF;
REG16;Aguamarina;0;171;169;;#00ABA9;#A9AB00FF;
REG17;Violeta;170;0;255;;#AA00FF;#FF00AAFF;
REG18;RosaClaro;254;152;229;;#FE98E5;#E598FEFF;
REG19;Marron;130;90;44;;#825A2C;#2C5A82FF;
REG20;Gris Pardo;135;121;78;;#87794E;#4E7987FF;
REG21;Cyan Oscuro;20;240;240;;#14F0F0;#F0F014FF;
REG22;Violeta Oscuro;75;0;130;;#4B0082;#82004BFF;
REG23;Rojo Oscuro;128;0;0;;#800000;#000080FF;
REG24;Amarillo Oscuro;128;128;0;;#808000;#008080FF;
REG25;Gris Oscuro;85;85;85;;#555555;#555555FF;
